trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
187,0,187,0,5,295.7557593,295.7557593,0.0122387,[0.009259259259259259],[-0.37407407407407406],[1],[0],[0],[1.8173308999994333],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
188,0,188,0,10,297.6089694,297.6089694,0.0299039,[-0.44166666666666665],[-0.3962962962962963],[1],[0],[0],[1.6680606999998417],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
189,0,189,0,5,299.2861342,299.2861342,0.009573,[-0.4981481481481482],[0.12685185185185185],[1],[0],[0],[1.405580299999201],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
190,0,190,0,5,300.7044335,300.7044335,0.0096464,[-0.34444444444444444],[0.4398148148148148],[1],[0],[0],[1.5056724999994913],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
191,0,191,0,5,302.2274999,302.2274999,0.0134968,[-0.11018518518518519],[0.08425925925925926],[1],[0],[0],[1.281500799999776],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
192,0,192,0,10,303.5327767,303.5327767,0.0188421,[0.07962962962962963],[-0.4148148148148148],[1],[0],[0],[1.4290356999990763],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
193,0,193,0,5,304.9748931,304.9748931,0.010287,[-0.1287037037037037],[0.4203703703703704],[1],[0],[0],[1.803803999999218],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
194,0,194,0,5,306.8001906,306.8001906,0.0168266,[0.11574074074074074],[-0.35462962962962963],[1],[0],[0],[1.5793063000000984],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
195,0,195,0,5,308.3924771,308.3924771,0.0103273,[0.17685185185185184],[0.3851851851851852],[1],[0],[0],[1.4045924999991257],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
196,0,196,0,10,309.8261191,309.8261191,0.0229084,[-0.29259259259259257],[-0.18981481481481483],[1],[0],[0],[1.2385711999995692],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
197,0,197,0,5,311.0746985,311.0746985,0.0094258,[-0.014814814814814815],[0.12129629629629629],[1],[0],[0],[1.2393513999995776],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
198,0,198,0,5,312.3275979,312.3275979,0.0107437,[-0.0824074074074074],[0.4537037037037037],[1],[0],[0],[1.3523150000000896],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
199,0,199,0,5,313.6943341,313.6943341,0.0100417,[-0.20462962962962963],[0.34629629629629627],[1],[0],[0],[1.1370083999991039],['target'],298441,1,2023-09-28_15h58.46.010,psychopy project 3,2023.1.3,60.00124803
